,Job_ID,Location,Title,Company,Date,Link,Description
0,3877859721,Worldwide,"Senior Specialist, Social Media - Arabic",ROSHN l روشن,2024-03-25,https://sa.linkedin.com/jobs/view/senior-specialist-social-media-arabic-at-roshn-l-%D8%B1%D9%88%D8%B4%D9%86-3877859721?position=1&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=gxevHRGyl3M70QcGgcxh3A%3D%3D&trk=public_jobs_jserp-result_search-card,"The Senior Specialist, Social Media - Arabic will be responsible for managing the organization's social media presence in Arabic-speaking countries. This role will require a strong understanding of social media platforms and trends in the Arabic-speaking market, excellent communication skills in Arabic, and the ability to work collaboratively with internal and external stakeholders, including marketing and communications teams. The Senior Specialist, Social Media - Arabic will work closely with the marketing and communications teams to develop and execute social media strategies that support the organization's goals and objectives.
Show more "
1,3881528773,Worldwide,Submit your CV for the future,FleishmanHillard UK,2024-04-02,https://uk.linkedin.com/jobs/view/submit-your-cv-for-the-future-at-fleishmanhillard-uk-3881528773?position=4&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=Do4jLz%2F0kXr4P912oZabPA%3D%3D&trk=public_jobs_jserp-result_search-card,"If you can't find an open role that's an exact fit right now, we'd still love to hear from you so we can bear you in mind for future positions.
Show more "
2,3877865122,Worldwide,Administrative Coordinator,Huspy,2024-04-02,https://ae.linkedin.com/jobs/view/administrative-coordinator-at-huspy-3877865122?position=6&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=hmkmyWbZQ%2B89Bcfda6AYSw%3D%3D&trk=public_jobs_jserp-result_search-card,"Are you highly organised with a knack for smooth operations? We are seeking an Administrative Coordinator to join our team and ensure seamless onboarding and daily administrative tasks.

Responsibilities:

Welcoming new starters and facilitating their transition into the company.
Sending out emails and communication materials to relevant stakeholders.
Creating and managing WhatsApp groups to foster team communication.
Ensuring new team members are well-informed about their roles and responsibilities.
Facilitating introductions and initial meetings between new team members and key personnel.
Assisting new hires in getting connected to all relevant internal groups and resources.
Providing necessary data and ensuring it's appropriately filtered for individual needs.
Handling day-to-day administrative tasks to support the smooth functioning of the office.

Requirements:

Excellent organisational skills with a keen eye for detail.
Strong communication and interpersonal abilities.
Proficiency in email communication and familiarity with messaging platforms like WhatsApp.
Ability to multitask and prioritize tasks effectively.
Proactive attitude with a willingness to assist others.
Previous experience in administrative roles is mandatory.

If you thrive in a dynamic environment and enjoy supporting teams in their daily operations, we'd love to hear from you!

Show more "
3,3881545770,Worldwide,Procurement Specialist,Abdul Hadi Abdullah Al-Qahtani & Sons Beverage Company (AQS-PEPSI),2024-04-02,https://sa.linkedin.com/jobs/view/procurement-specialist-at-abdul-hadi-abdullah-al-qahtani-sons-beverage-company-aqs-pepsi-3881545770?position=7&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=tTUG%2Fa3m8%2BaecbcUVXhJvA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Purpose:

The procurement specialist is responsible for coordinating the procurement process, from identifying suppliers to negotiating contracts and ensuring timely delivery of goods and services. They work closely with various departments to understand their procurement needs and develop strategies to optimize purchasing activities while maintaining quality and cost-effectiveness.

Description:

Sourcing and Supplier Management:

• Identify potential suppliers through market research and networking.

• Evaluate suppliers based on price, quality, delivery times, and other relevant factors.

• Negotiate contracts and terms with suppliers to secure favorable agreements.

• Maintain relationships with suppliers and address any issues or concerns that arise.

Procurement Process Management:

• Implement and ensure the procurement strategies and policies.

• Coordinate the procurement process, including requisition processing, purchase order creation, and invoice verification.

• Ensure compliance with organizational policies, procedures, and legal requirements.

• Monitor and analyze procurement data to identify opportunities for cost savings and process improvements.

• Process, Monitor and Follow up the Customs Clearances and SFDA & SABER Certification.

Documentation and Record Keeping:

• Maintain procurement documentation, including purchase orders, contracts, and vendor agreements.

• Organize and maintain electronic and physical procurement files for easy retrieval and reference. • Assist in preparing reports and analysis related to procurement activities, such as spend analysis, vendor performance, and savings achieved.

Contract Management:

• Review and manage supplier contracts, including terms, conditions, and performance metrics.

• Renew contracts as needed and negotiate contract modifications or extensions.

• Ensure compliance with contract terms and resolve any disputes or discrepancies.

Qualification:

Bachelor’s degree in business administration, supply chain management, or a related field.

Experience:

+2 years in procurement, purchasing, or supply chain management.

Skills:

• Strong negotiation and communication skills

• Proficiency in SAP software and Microsoft Office Suite.

• Knowledge of procurement best practices, regulations, and industry trends.

• Analytical and problem-solving abilities.

• Attention to detail and accuracy.

Show more "
4,3881520521,Worldwide,Director of Business Services- Business Services-EHC (تكليف داخلي ),Eastern Health Cluster | تجمع الشرقية الصحي,2024-04-02,https://sa.linkedin.com/jobs/view/director-of-business-services-business-services-ehc-%D8%AA%D9%83%D9%84%D9%8A%D9%81-%D8%AF%D8%A7%D8%AE%D9%84%D9%8A-at-eastern-health-cluster-%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A-3881520521?position=8&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=aCOTtC6VcFscIl8Pq4VOdA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

Main Responsibilities:

The Director Of Business Services Works In Collaboration With Key Stakeholders And Will Be Accountable For The Delivery Of The Following Objectives


1. Development of the annual budget and operational plan (including pricing, service offering etc.)
Operating expenditure planning and implementation
Capital expenditure planning and coordinate implementation.
Equipment and consumables planning, sourcing and implementation
Workforce planning, productivity and deployment to meet identified needs.
Scope of service delivery planning, implementation and utilization development and management.


Identify opportunities to support and develop effective cooperation between the various functions of the administration.


8. Support departments in the development of national and international collaboration to ensure the delivery of agreed outcomes.
Professional development needs identification to support the development of effective educational programs designed to facilitate employees and trainees in their development and in implementing best practices using evidence-based standards.
Maintains confidentiality relating to all matters dealt. Uses great discretion at all times and ensure that no confidential material is released to unauthorized members of staff.
Follows all related policies and procedures. Participates in emergency and disaster procedures. Performs other duties within the realm of his/her knowled e and abilit as re uired.


Skills

Competencies:

Research And Development

Ability to critically appraise literature and apply research outcomes to practice and service development. Policy and Service Development:

Ability to identify and prioritize the need for policies and practice guidelines.

Ability to develop and critically review policies and practice guidelines.

Ability To Use Quality Improvement Methodologies. Analytical And Judgment

Ability to critically use operational, performance and outcome data to draw conclusions and develop action plans. Planning and Organizing:

Ability to develop operational plans in alignment with LTSP.

Ability to build and manage multidisciplinary teams.

Ability to develop networks, build and maintain relationships with other services/ organizations.

Ability to manage resources.

Abilit to mana e erformance and mentor staff.

Education

MD or PhD in Healthcare Management or Finance or Business Management or Clinical Specialty or related field.

Masters in Healthcare Management or Finance Business Management or Clinical Specialty or related field.

Bachelors in Healthcare Mana ement or Finance or Business Mana ement or Clinical Specialt or related field

Experience

Six (6) years' experience in related field, with at least two (2) years of senior managerial experience for MD or PhD degree. Eight (8) years' experience in related field, with at least four (4) years of senior managerial experience for master's degree. Ten (10) years' experience in related field, with at least six (6) years of senior managerial experience for bachelor's de ree.
Show more "
5,3879387291,Worldwide,VC Associate - Newly Launched Venture Capital Fund,Aventus,2024-04-02,https://sa.linkedin.com/jobs/view/vc-associate-newly-launched-venture-capital-fund-at-aventus-3879387291?position=11&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=UKuqHyhMpIXa2hSJrI7sWg%3D%3D&trk=public_jobs_jserp-result_search-card,"Investment Associate - New Venture Capital Firm - Riyadh

Our client is a Highly Reputable VC Fund that is looking for a Saudi National VC Associate. As an Associate you will play a pivotal role in shaping the future of the investment portfolio. This position is tailor-made for a candidate with a minimum of 3 years of experience in the private equity or venture capital industry, preferably holding an MBA.

Key Responsibilities:

Financial Modeling and Analysis: You will be at the forefront of conducting comprehensive financial due diligence on potential investments, utilizing your advanced modeling skills to assess valuation, risk, and return profiles.
Deal Sourcing and Evaluation: Collaborate with the investment team to identify and evaluate prospective startups, assisting in the screening process and providing insights to support investment decisions.
Market Research: Stay at the forefront of industry trends, conducting market research to identify emerging opportunities and potential market disruptors.
Report and Presentation: Prepare comprehensive investment memos, presentations, and reports for internal and external stakeholders, effectively communicating investment recommendations and results.

Qualifications:

A minimum of 2 years of experience in private equity or venture capital, with a strong preference for candidates holding an MBA.
Exceptional financial modeling and analysis skills, demonstrating proficiency in valuation methodologies and investment analysis.
Strong deal sourcing and evaluation capabilities, with a keen eye for identifying promising startups.
Excellent communication and presentation skills, both written and verbal.
A passion for innovation and technology, with a deep understanding of the startup ecosystem.
Ability to work collaboratively in a fast-paced, entrepreneurial environment.
Exceptional attention to detail, time management, and organizational skills.
Integrity, professionalism, and a commitment to maintaining the highest ethical standards.

Show more "
6,3879368691,Worldwide,"Senior Executive - Content Insights, Operations & New Format, Disney+ Hotstar",Disney+ Hotstar,2024-04-02,https://in.linkedin.com/jobs/view/senior-executive-content-insights-operations-new-format-disney%2B-hotstar-at-disney%2B-hotstar-3879368691?position=12&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=GIbbOQ4iRVrEEOZXBF8hHQ%3D%3D&trk=public_jobs_jserp-result_search-card,"JOB TITLE: Senior Executive - Content Insights, Operations & New Format, Disney+ Hotstar

LOCATION: Mumbai

JOB SUMMARY:

As a senior executive you will be collaborating closely with various teams, including international vendors, to promptly source video, dubs, subs, metadata, and artwork collateral for smooth processing.

ABOUT THE TEAM:

At Disney+ Hotstar, we are transforming how people in India access Internet TV. Our goal is to create the world’s first personalized entertainment service, offering high-quality content to millions of customers across a multitude of devices, all of which are constantly evolving. Our growth is unprecedented – if you're ready to tackle challenging and intriguing problems on a large scale and make a difference in an entrepreneurial environment, come join us! You will be a part of the Content Operations team responsible for managing content processing for Studio Content at Disney+ Hotstar.

REPORTING TO: Manager - Content Insights, Operations & New Format, Disney+ Hotstar

KEY RESPONSIBILITIES:



Onboarding new studios and production houses, overseeing content transfer and processing on Hotstar from onboarding to publishing
Coordinating with the programming team to establish publishing calendars necessary for processing content
Coordinating with the SNP team to obtain clearance within designated timelines for content processing
Adhering to operational SOPs for processing content to meet deadlines
Utilizing Hotstar CMS for content processing and daily operations
Collaborating with the tech team, understanding new CMS features, implementing them in daily operations, and providing feedback accordingly
Ensuring all records are updated according to protocol and updated daily
Creating tickets in JIRA and ensuring follow-up for ticket closure with RCA



SKILLS & ATTRIBUTES FOR SUCCESS:



Interest in Media and Entertainment
Capability to work within designated timelines to deliver output according to assigned deadlines
Experience in content management teams with approximately 5 to 10 years of work experience
Basic understanding of Audio & Video concepts



ABOUT US:

Disney Star is a leading media & entertainment company in India that reaches over 700 million viewers a month in nine different languages. Our entertainment portfolio which cuts across general entertainment, movies, sports, infotainment, kids, and lifestyle content generates over 20,000 hours of original content every year. Disney+ Hotstar, India’s leading streaming platform, enables us to reach and entertain audiences anywhere, anytime. Disney+ Hotstar has changed the way Indians consume their entertainment - from their favourite TV shows and movies to sporting extravaganzas. Join us, and let's continue to inspire a billion imaginations.

WHY JOIN US:

Because our employees and cast members are at the heart of everything we do, Disney offers a competitive total rewards package that includes pay, health and savings benefits, time-off programs, special educational opportunities and more. Together, these rewards make up a comprehensive package that helps our employees grow personally and professionally and take advantage of the special extras that only Disney STAR can offer to make their journey memorable.

Official Company Pages: Disney Star; Disney+ Hotstar | Official Careers:Disney Star Careers; Disney+ Hotstar Careers | LinkedIn:Disney Star; Disney+ Hotstar

Disney Star is an equal opportunity employer. We value diversity at our company and Our mission of Diversity & Inclusion is to create a workplace where everyone can bring their authentic selves to work. We do not discriminate on any ground, including race, religion, caste, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, pregnancy or disability etc.
Show more "
7,3879375815,Worldwide,Ajudante Familiar,IEFP,2024-04-02,https://br.linkedin.com/jobs/view/ajudante-familiar-at-iefp-3879375815?position=17&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=bca%2FVIQ9USgrL6i02PtLfg%3D%3D&trk=public_jobs_jserp-result_search-card,"Condições Requeridas Habilitações Escolares e Profissionais

Habilitações Mínimas

Ler-escrever s/grau ensino

Formação Profissional Exigida

Não Relevante

Certificação Profissional

NR

Experiência Profissional

Experiência Anterior

Não

Outros Requisitos

Normas específicas de higiene e segurança no trabalho:

Sim

Observações

De acordo com as normas em vigor.

Descrição do Perfil

EMPRESA, LOCALIZADA EM VALE DE FIGUEIRA, PRETENDE RECRUTAR UM AJUDANTE FAMILIAR (M/F).É NECESSÁRIO POSSUIR DISPONIBILIDADE PARA ASSUMIR UM HORÁRIO DE TRABALHO POR TURNOS ROTATIVOS.

Condições Oferecidas Contrato de Trabalho

Tipo De Contrato

Termo certo

Duração

6 (meses)

Regime De Trabalho

A tempo completo

Horário Trabalho

Regime Horário

Turnos

Nº De Horas

8.0

Descanso Semanal

Outro Rotativo

Formas De Prestação De Trabalho

Presencial

Remuneração e Subsídios

Remuneração Base Ilíquida

820 EUR/Mês

Subsídio De Refeição

Refeições incluídas

Irct

A entidade contratante declara não possuir IRCT.

Outras Regalias

Outras competências requeridas
Show more "
8,3879370396,Worldwide,"Senior Executive - Content Insights, Operations & New Format, Disney+ Hotstar",Disney+ Hotstar,2024-04-02,https://in.linkedin.com/jobs/view/senior-executive-content-insights-operations-new-format-disney%2B-hotstar-at-disney%2B-hotstar-3879370396?position=18&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=HB7oxsaAQCV5E49O7D7TWw%3D%3D&trk=public_jobs_jserp-result_search-card,"JOB TITLE: Senior Executive - Content Insights, Operations & New Format, Disney+ Hotstar

LOCATION: Mumbai

JOB SUMMARY:

As a senior executive you will be working cross functionally with ad sales, editorial, Linear TV teams, studios, marketing, programming, vendors, tech etc stakeholders for ingestion of clips, trailers shows & movies.

ABOUT THE TEAM:

At Disney+ Hotstar, we are transforming how people in India access Internet TV. Our goal is to create the world’s first personalized entertainment service, offering high-quality content to millions of customers across a multitude of devices, all of which are constantly evolving. Our growth is unprecedented – if you're ready to tackle challenging and intriguing problems on a large scale and make a difference in an entrepreneurial environment, come join us! You will be a part of the Content Operations team responsible for managing content processing for Studio Content at Disney+ Hotstar.

REPORTING TO: Manager - Content Insights, Operations & New Format, Disney+ Hotstar

KEY RESPONSIBILITIES:



Onboarding of new studios and production houses and overseeing content transfer and processing on Disney+ Hotstar from acquisition to publishing
Coordinating with the programming team and studios to source collaterals required for processing content
Coordinating with the legal, commercial, and S&P teams for all rights and S&P clearance within designated timelines for content processing
Creating an operational schedule for processing content to meet deadlines
Collaborating closely with all network channel teams, monitoring FPCs and schedules for new launches, upcoming shows, and concurrent deliveries
Working on Disney+ Hotstar CMS for content processing and daily operations
Networking with the tech team, understanding new features released in CMS, implementing them in daily operations, and providing feedback accordingly
Ensuring all records are updated according to protocol
Vendor management
Responsible for accessing RMS (Rights Management System) to check content rights details in various countries, including AVOD/SVOD, monetization, DRM requirements, etc.



SKILLS & ATTRIBUTES FOR SUCCESS:



Interest in Media and Entertainment
Capability to work within designated timelines to deliver output according to assigned deadlines
Experience in content management teams with approximately 5 to 10 years of work experience
Basic understanding of Audio & Video concepts
3-4 Yrs of experience in media operations
Rotational/shiftwise work (24/7)



ABOUT US:

Disney Star is a leading media & entertainment company in India that reaches over 700 million viewers a month in nine different languages. Our entertainment portfolio which cuts across general entertainment, movies, sports, infotainment, kids, and lifestyle content generates over 20,000 hours of original content every year. Disney+ Hotstar, India’s leading streaming platform, enables us to reach and entertain audiences anywhere, anytime. Disney+ Hotstar has changed the way Indians consume their entertainment - from their favourite TV shows and movies to sporting extravaganzas. Join us, and let's continue to inspire a billion imaginations.

WHY JOIN US:

Because our employees and cast members are at the heart of everything we do, Disney offers a competitive total rewards package that includes pay, health and savings benefits, time-off programs, special educational opportunities and more. Together, these rewards make up a comprehensive package that helps our employees grow personally and professionally and take advantage of the special extras that only Disney STAR can offer to make their journey memorable.

Official Company Pages: Disney Star; Disney+ Hotstar | Official Careers:Disney Star Careers; Disney+ Hotstar Careers | LinkedIn:Disney Star; Disney+ Hotstar

Disney Star is an equal opportunity employer. We value diversity at our company and Our mission of Diversity & Inclusion is to create a workplace where everyone can bring their authentic selves to work. We do not discriminate on any ground, including race, religion, caste, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, pregnancy or disability etc.
Show more "
9,3881521847,Worldwide,Wholesale Buying Admin Assistant,Urban Outfitters Europe,2024-04-02,https://uk.linkedin.com/jobs/view/wholesale-buying-admin-assistant-at-urban-outfitters-europe-3881521847?position=21&pageNum=0&refId=5XWxRDlNwGCWSZf%2FMLeudw%3D%3D&trackingId=eVEsUz%2BcK0bDs9xZ0yHJew%3D%3D&trk=public_jobs_jserp-result_search-card,"JOB TITLE: Wholesale Buying Admin Assistant

REPORTS TO: Wholesale Buyer

Urban Outfitters started out as a single boutique in 1970s Philadelphia with creativity and uniqueness at its core. 50 years on, and over 60 stores across Europe later, we’ve become a destination for emerging design, unexpected styling, One-Of-A-Kind vintage and homeware that makes you want to hit the share button.

We speak to a social community of over 10 million forward-thinking individuals, bringing together a nostalgia for the past with an enthusiasm to shape the future. The UO community are culturally aware, they shape the music scene, they live a digitally native life and they wear style trends before anyone else. At our core, we empower our customers and staff to express themselves, unapologetically, living life in a way that's truly authentic to them.

We are always excited to bring new talent into the room, especially if you share our values:

Progressive — we move with the mood

Creative — we champion limitless minds

Inclusive — we open our platforms to all communities

Responsible — we work to reduce our impact on the environment

Compassionate — we care for each other beyond the 9 to 5

Sound like you, why not join us?

Role Summary

As a Wholesale BAA you will support the Buying Administration of UO Wholesale collections. This entry level role is the perfect opportunity to kickstart your career within Fashion Buying or Wholesale.

What You’ll Be Doing:

Purchase order administration, including raising orders and managing any amendments.
Manage shipping approvals for bulk orders collaboratively with Planning.
Provide product details for line sheets, the Sales team and partner retailers.
Manage samples, coordinating with core Buying teams.
Manage the Wholesale purchase order critical paths, coordinating with suppliers and the core Buying teams.
Input product data into B2B and Blue Cherry wholesale management systems.
Maintain line sheet documentation.
Manage the photography of the wholesale brand catalogues and ecommerce styles working collaboratively with the photographic studio.
Support with range builds for wholesale collections.

What You’ll Need:

A passion and enthusiasm for the Urban Outfitters brand and what we represent
Ability to multitask in a fast-paced environment.
Strong communication and organisational skills.
Good problem-solving ability.
Commercial awareness and a keen interest in the fashion retail industry.
Software skills - Microsoft Office, Word, Excel, PowerPoint
System experience desirable – purchase order administration systems, wholesale sales systems, PLM systems

The Perks

Work-life balance:

-Flexible start and finish times

-Bring your dog to work

Wellbeing:

-Employees Assistance program to support with mental, physical and financial health

-Fully equipped free gym and on-site wellness room in Brick Lane and 50% discount of external gym memberships

-Private Medical Insurance

Employee Discount:

-Up to 40% off at all URBN Brands (Urban Outfitters, Anthropologie, Free People and more!)

Community:

-One paid day to either volunteer or fundraise for a charity of your choice

Travel:

-Cycle to work scheme, season ticket loan

Continued Development:

-We offer structured support within the business alongside continued learning and development

We receive such a high volume of applications, unfortunately we can't reply to everybody. If you haven't heard back from us after 2 weeks, you haven't been successful on this occasion. However, don't let this put you off applying in future, please keep an eye on out for other opportunities.

Show more "
